,fname,xmin,ymin,w,h,name,id,height,width,iscrowd,area
0,ssd_20170101_00.png,2637,0,80,33,class2,0,1201,3600,0,2640
1,ssd_20170101_06.png,2651,0,80,36,class1,1,1201,3600,0,2880
2,ssd_20170101_00.png,881,636,80,80,class1,0,1201,3600,0,6400
3,ssd_20170101_00.png,1310,718,80,80,class1,0,1201,3600,0,6400
4,ssd_20170101_06.png,1294,726,80,80,class1,1,1201,3600,0,6400
5,ssd_20170101_00.png,2238,485,80,80,class1,0,1201,3600,0,6400
6,ssd_20170101_06.png,2218,475,80,80,class0,1,1201,3600,0,6400
7,ssd_20170101_00.png,753,544,80,80,class0,0,1201,3600,0,6400
8,ssd_20170101_06.png,764,537,80,80,class0,1,1201,3600,0,6400
9,ssd_20170101_00.png,838,546,80,80,class1,0,1201,3600,0,6400
10,ssd_20170101_06.png,854,551,80,80,class1,1,1201,3600,0,6400
11,ssd_20170101_00.png,545,680,80,80,class0,0,1201,3600,0,6400
12,ssd_20170101_06.png,540,682,80,80,class0,1,1201,3600,0,6400
13,ssd_20170101_00.png,1686,654,80,80,class1,0,1201,3600,0,6400
14,ssd_20170101_12.png,1290,712,80,80,class1,2,1201,3600,0,6400
15,ssd_20170101_18.png,1276,704,80,80,class1,3,1201,3600,0,6400
16,ssd_20170101_12.png,1473,736,80,80,class1,2,1201,3600,0,6400
17,ssd_20170101_12.png,2198,461,80,80,class0,2,1201,3600,0,6400
18,ssd_20170101_18.png,2186,450,80,80,class0,3,1201,3600,0,6400
19,ssd_20170101_12.png,774,542,80,80,class1,2,1201,3600,0,6400
20,ssd_20170101_18.png,785,546,80,80,class1,3,1201,3600,0,6400
21,ssd_20170101_12.png,546,681,80,80,class0,2,1201,3600,0,6400
22,ssd_20170101_18.png,549,682,80,80,class0,3,1201,3600,0,6400
23,ssd_20170102_00.png,1279,701,80,80,class1,4,1201,3600,0,6400
24,ssd_20170102_06.png,1279,702,80,80,class1,5,1201,3600,0,6400
25,ssd_20170102_00.png,803,551,80,80,class1,4,1201,3600,0,6400
26,ssd_20170102_06.png,822,549,80,80,class1,5,1201,3600,0,6400
27,ssd_20170102_00.png,547,685,80,80,class0,4,1201,3600,0,6400
28,ssd_20170102_00.png,1557,508,80,80,class0,4,1201,3600,0,6400
29,ssd_20170102_06.png,1563,529,80,80,class1,5,1201,3600,0,6400
30,ssd_20170102_12.png,3164,180,80,80,class1,6,1201,3600,0,6400
31,ssd_20170102_18.png,3180,183,80,80,class1,7,1201,3600,0,6400
32,ssd_20170102_12.png,3405,135,80,80,class1,6,1201,3600,0,6400
33,ssd_20170102_18.png,3351,124,80,80,class1,7,1201,3600,0,6400
34,ssd_20170102_12.png,906,640,80,80,class1,6,1201,3600,0,6400
35,ssd_20170102_18.png,931,629,80,80,class1,7,1201,3600,0,6400
36,ssd_20170102_12.png,1279,706,80,80,class1,6,1201,3600,0,6400
37,ssd_20170102_18.png,1253,705,80,80,class1,7,1201,3600,0,6400
38,ssd_20170102_12.png,838,544,80,80,class1,6,1201,3600,0,6400
39,ssd_20170102_18.png,857,542,80,80,class1,7,1201,3600,0,6400
40,ssd_20170102_12.png,858,495,80,80,class0,6,1201,3600,0,6400
41,ssd_20170102_18.png,847,497,80,80,class0,7,1201,3600,0,6400
42,ssd_20170102_12.png,536,687,80,80,class0,6,1201,3600,0,6400
43,ssd_20170102_18.png,533,685,80,80,class0,7,1201,3600,0,6400
44,ssd_20170102_12.png,957,521,80,80,class0,6,1201,3600,0,6400
45,ssd_20170103_00.png,3192,186,80,80,class1,8,1201,3600,0,6400
46,ssd_20170103_06.png,3205,194,80,80,class1,9,1201,3600,0,6400
47,ssd_20170103_00.png,3320,141,80,80,class2,8,1201,3600,0,6400
48,ssd_20170103_06.png,3312,130,80,80,class2,9,1201,3600,0,6400
49,ssd_20170103_00.png,927,626,80,80,class1,8,1201,3600,0,6400
50,ssd_20170103_06.png,930,633,80,80,class1,9,1201,3600,0,6400
51,ssd_20170103_00.png,1256,695,80,80,class1,8,1201,3600,0,6400
52,ssd_20170103_06.png,1248,702,80,80,class1,9,1201,3600,0,6400
53,ssd_20170103_00.png,882,543,80,80,class1,8,1201,3600,0,6400
54,ssd_20170103_06.png,897,534,80,80,class1,9,1201,3600,0,6400
55,ssd_20170103_00.png,882,543,80,80,class1,8,1201,3600,0,6400
56,ssd_20170103_06.png,897,534,80,80,class1,9,1201,3600,0,6400
57,ssd_20170103_12.png,3287,121,80,80,class2,10,1201,3600,0,6400
58,ssd_20170103_18.png,3268,113,80,80,class2,11,1201,3600,0,6400
59,ssd_20170103_12.png,1251,702,80,80,class1,10,1201,3600,0,6400
60,ssd_20170103_18.png,1248,706,80,80,class1,11,1201,3600,0,6400
61,ssd_20170103_12.png,906,530,80,80,class1,10,1201,3600,0,6400
62,ssd_20170103_18.png,913,523,80,80,class1,11,1201,3600,0,6400
63,ssd_20170103_12.png,519,684,80,80,class0,10,1201,3600,0,6400
64,ssd_20170103_18.png,515,675,80,80,class0,11,1201,3600,0,6400
65,ssd_20170103_12.png,906,530,80,80,class1,10,1201,3600,0,6400
66,ssd_20170103_18.png,913,523,80,80,class1,11,1201,3600,0,6400
67,ssd_20170103_12.png,1386,527,80,80,class0,10,1201,3600,0,6400
68,ssd_20170104_00.png,3156,117,80,80,class1,12,1201,3600,0,6400
69,ssd_20170104_00.png,3264,103,80,80,class2,12,1201,3600,0,6400
70,ssd_20170104_06.png,3261,83,80,80,class2,13,1201,3600,0,6400
71,ssd_20170104_00.png,968,643,80,80,class1,12,1201,3600,0,6400
72,ssd_20170104_06.png,980,656,80,80,class1,13,1201,3600,0,6400
73,ssd_20170104_00.png,1241,711,80,80,class1,12,1201,3600,0,6400
74,ssd_20170104_06.png,1228,715,80,80,class1,13,1201,3600,0,6400
75,ssd_20170104_00.png,1693,1065,80,80,class2,12,1201,3600,0,6400
76,ssd_20170104_06.png,1727,1046,80,80,class2,13,1201,3600,0,6400
77,ssd_20170104_00.png,1361,526,80,80,class0,12,1201,3600,0,6400
78,ssd_20170104_06.png,1349,536,80,80,class1,13,1201,3600,0,6400
79,ssd_20170104_12.png,3143,138,80,80,class1,14,1201,3600,0,6400
80,ssd_20170104_18.png,3150,162,80,80,class1,15,1201,3600,0,6400
81,ssd_20170104_12.png,3252,66,80,80,class1,14,1201,3600,0,6400
82,ssd_20170104_18.png,3253,52,80,80,class1,15,1201,3600,0,6400
83,ssd_20170104_12.png,989,663,80,80,class1,14,1201,3600,0,6400
